,smiles,mp,db,db_index,train/test
10,O=C1C=C(OC2=C1C=CC=C2)C1=CC=CC=C1,371.65,Bradley,2290,True
19,OC(=O)CCSCCC(O)=O,403.15,Bradley,1784,True
20,CC(C)CBr,155.15,Bradley,1956,True
29,NC(=O)C1=CC=CC=C1O,414.15,Bradley,2098,True
40,OC(=O)CCCCCBr,307.65,Bradley,1014,True
48,FC1=C(F)C(F)=C(C(F)=C1F)C1=C(F)C(F)=C(F)C(F)=C1F,340.65,Bradley,1320,True
64,CCCCC1(CC)C(=O)NC(=O)NC1=O,400.15,Bradley,2446,True
70,FC1=CC(F)=C(F)C=C1F,277.4,Bradley,668,True
81,C1CC2=CC=CC=C2NC2=CC=CC=C12,380.15,Bradley,476,True
103,CC1=CC=C(C)N1C1=CC=CC=C1,322.95,Bradley,584,True
109,CC(C)C#C,183.35,Bradley,222,False
116,CCC(=O)C1=CC=C(O)C=C1O,372.65,Bradley,1130,True
134,CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,379.15,Bradley,2080,True
135,OC1=CC=C(Cl)C=C1,315.65,Bradley,2462,True
155,C(N(CC1=CC=CC=C1)CC1=CC=CC=C1)C1=CC=CC=C1,365.35,Bradley,1618,True
182,OCC1=C(O)C=CC(Br)=C1,384.15,Bradley,2625,True
202,COC1=CC(OC)=C(C=O)C=C1OC,387.15,Bradley,1305,True
243,COC(=O)C1=CC=C(OC)C=C1,322.65,Bradley,1378,True
245,CC1=CC=C(C=C1)N=C=S,298.35,Bradley,504,True
251,CC1=CC=C(C=C1)C(N)=O,434.15,Bradley,2680,True
257,OC1=CC=CC(O)=C1[N+]([O-])=O,355.65,Bradley,942,True
268,CCCCCCCCCCC,247.35,Bradley,323,True
270,OC1=C(Br)C=C(C=O)C=C1Br,455.15,Bradley,1004,True
283,O=C(OC1=CC=CC=C1)C1=CC=CC=C1C(=O)OC1=CC=CC=C1,347.15,Bradley,1768,True
298,OC1=CC=C(C=C1)C1=CC=C(O)C=C1,553.15,Bradley,2846,True
330,CCCCCCCCCCCCCCCCCCO,332.65,Bradley,2391,True
348,C(SCC1=CC=CC=C1)C1=CC=CC=C1,322.35,Bradley,481,True
357,N#CC1=CC=NC=C1,350.65,Bradley,2386,True
373,CC(F)(F)Cl,142.15,Bradley,89,True
375,C1C=CC2=CC=CC=C12,271.25,Bradley,122,True
382,OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F,434.15,Bradley,1886,True
404,BrC1=CC(=CC=C1)C(=O)C1=CC=CC=C1,351.65,Bradley,2827,False
