,smiles,mp,db,db_index,train/test
2,CC1=C2NC(=O)C=CC2=C(Cl)C=C1,528.15,Enamine,7196,False
5,NNC(=O)CN1CCCC1=O,373.15,Enamine,3188,True
6,OC(=O)C1=CC=C(NS(=O)(=O)C2=CC=C(Br)C=C2)C=C1,541.15,Enamine,158,True
7,O=C1NC2=C(C=CC=C2)S(=O)(=O)N1,575.15,Enamine,3306,True
8,FC1=C(I)C=CC(=N1)C(F)(F)F,322.15,Enamine,5618,True
9,COC1=CC=C(C=C1)C1=NN=C(S)N1CCC(O)=O,290.15,Enamine,8122,True
11,CCCCN1C(=O)NC(=O)C(NCC)=C1N,559.15,Enamine,2104,True
15,COC1=CC(NCC2=NN=C3CCCCCN23)=CC=C1,451.15,Enamine,952,True
22,SC1=NN2C=CC=NC2=N1,508.15,Enamine,9750,False
23,CC(=O)C1=CC(=CC=C1)S(=O)(=O)NCCC(O)=O,381.15,Enamine,1781,True
25,CN1N=C(C)C(OCC(O)=O)=C1C,446.15,Enamine,4339,True
27,COC1=CC=C(C=C1)N1CCCNC(=O)C1,446.15,Enamine,11411,True
28,NC1=CC(F)=C(C=C1)S(N)(=O)=O,426.15,Enamine,6875,True
30,CSC1=NC=C(C=C1)C(O)=O,456.15,Enamine,17369,True
33,OC(=O)C=CC1=CC=C(OCC#N)C=C1,488.15,Enamine,8136,False
34,CC1=C(C)C(C)=C2C(=O)NSC2=N1,510.15,Enamine,21736,True
35,OC(=O)CCCNC(=O)OCC1=CC=CC=C1,335.15,Enamine,13758,False
39,FC1=CC(NC(=O)NCC2CCCNC2)=CC=C1,397.15,Enamine,16998,False
41,IC1=CC2=C(C=C1)N=CNC2=O,546.15,Enamine,19404,True
42,CC1=CC(C=O)=CC(C)=C1OC(F)F,330.15,Enamine,3115,True
43,CN1CCCC2=C1C=C(C=C2)S(Cl)(=O)=O,338.15,Enamine,3678,True
44,OCC1CNC2=C(C1)C=CC=C2,353.15,Enamine,13794,False
45,OC(=O)C1=C(I)C=C(Cl)C=C1,431.15,Enamine,11845,True
49,OC(=O)CSC1=NN=C(C2CC2)N1CC1=CC=CC=C1,468.15,Enamine,4260,True
52,CCC1=NC(=S)NC(N)=N1,513.15,Enamine,6585,True
53,NC1=NON=C1C(=O)N1CCOCC1,410.15,Enamine,15191,True
57,CC(C)N(C(C)C)S(=O)(=O)C1=CN=C(NN)C=C1,433.15,Enamine,3122,False
62,COCCNS(=O)(=O)C1=C(OC)C=CC(=C1)C(O)=O,457.15,Enamine,4170,True
66,CC(C)CCS(=O)(=O)CC(O)=O,335.15,Enamine,12355,True
67,CC(C)(C)OC(=O)N1CCC(CC1)(OCC(F)(F)F)C(O)=O,533.15,Enamine,14477,True
72,CC1=C(OCC(O)=O)C(Cl)=CC=C1,373.15,Enamine,20176,False
73,CCOC(=O)C1=C(Cl)N=C2C=CC=CC2=C1C,383.15,Enamine,3128,True
75,CCS(=O)(=O)NC1=CC=C(N)C=C1,362.15,Enamine,13321,False
77,COC1=C(N)C=C(C=C1)C(=O)NC1=NC(C)=CS1,438.15,Enamine,11917,True
78,CC1=C(N)C=C(C=C1)S(=O)(=O)NC1=CC(Cl)=CC=C1,384.15,Enamine,790,False
83,CC(C)(C)CNC(=O)C1=NC=C(C=C1)C(O)=O,513.15,Enamine,20616,False
85,OC(=O)CC1=CC2=C(NC1=O)C=CC=C2,552.15,Enamine,11763,True
86,CC(C)(C(O)=O)C1=CC=C(C=C1)[N+]([O-])=O,403.15,Enamine,20429,False
88,OC(=O)C1=C(NC(=O)OCC2=CC=CC=C2)C=CC=C1,403.15,Enamine,3704,True
89,COCCCN1C=NN=C1S,435.15,Enamine,2368,True
92,CC(O)C1=NC2=C(C=CC=C2)N1C,385.15,Enamine,15426,True
96,NC(=O)C1CCCO1,350.15,Enamine,19780,True
99,CC1=NC2=C(C=NN2C=C1)C(O)=O,530.15,Enamine,17366,True
102,CCOC1=CC=C(C=C1)N(C)S(=O)(=O)C1=CC(C(O)=O)=C(C)C=C1,449.15,Enamine,206,True
105,CN(C)C1=NC(C)=C(S1)C=O,390.15,Enamine,16671,False
108,COC1=CC(C2=NN=C(N)O2)=C(Br)C=C1,463.15,Enamine,17565,True
110,CC(=O)N1CCC(CC1)(C(O)=O)C1=CC=CC=C1,481.15,Enamine,9226,True
115,NC(=O)C1=C(Cl)N=NC(Cl)=C1,450.15,Enamine,18664,True
117,CC1=CSC(SC2=C(Cl)C=C(N)C=C2)=N1,386.15,Enamine,16892,True
120,OC(=O)C1CC1C(=O)N1CCN(CC1)C1=CC=CC=C1,429.15,Enamine,15790,False
122,CC(=CC1=CC(Cl)=CC=C1)C(O)=O,373.15,Enamine,6032,True
123,CC1=C(F)C=CC(=C1)S(=O)(=O)NC1=C(C=CC=C1)C(O)=O,339.65,Enamine,230,True
124,ClC1=C2C(SC=C2C2=CC=CC=C2)=NC(=N1)C1CC1,351.15,Enamine,15777,True
127,O=CC1=CC=C(OCC2=NC=CC=C2)C=C1,362.15,Enamine,12109,True
131,NC(=S)NC1=C2CCCCC2=CC=C1,439.15,Enamine,22289,True
132,O=C1NN=NN1C1=CC=CS1,425.15,Enamine,8693,False
133,NC1=CC(=CC=C1)S(=O)(=O)NC1=CC(=CC=C1)C(F)(F)F,372.15,Enamine,770,True
137,CC1(NC(=O)NC1=O)C1=C(Br)C=CC=C1,493.15,Enamine,9149,True
138,CCC1=CC2=C(S1)N=CN(N)C2=O,411.15,Enamine,1243,True
139,CC1=C(C)N(CC(O)=O)C(=O)S1,460.15,Enamine,14266,True
140,NC1=C(C=CC=C1)N1CCOC1=O,362.15,Enamine,16559,False
142,OC(=O)C1=C(NC(=O)C2=CC=C(OC3=CC=CC=C3)C=C2)C=CC=C1,463.15,Enamine,19881,True
146,CC1=C(Cl)C(=CC(=C1)C(O)=O)S(Cl)(=O)=O,483.15,Enamine,5683,True
148,COC1=C(OCC2=CN=CC=C2)C=CC(=C1)C(O)=O,453.15,Enamine,10654,True
150,NS(=O)(=O)C1=CNC=N1,506.15,Enamine,19517,True
152,NC(=S)C1=C(N)C=CC(=C1)[N+]([O-])=O,445.15,Enamine,7515,True
154,CC(C)C(NC(=O)C1=CC=C(C)C=C1)C(O)=O,429.15,Enamine,110,True
156,CC1=CC=C(S1)S(=O)(=O)NCCN,368.15,Enamine,5204,True
157,[O-][N+](=O)C1=C2OCCC(=O)C2=CC(Br)=C1,378.15,Enamine,4668,True
158,OC(=O)CCC1=CC=C(O1)C1=C(F)C=CC=C1,391.15,Enamine,8839,True
159,COC1=C(OCC(O)=O)C=CC(=C1)C#N,428.15,Enamine,9552,True
161,CC1=C(OC2=C1C(=O)CCC2)C(O)=O,501.15,Enamine,11697,True
162,COC1=CC=C(C=C1)S(=O)(=O)NC1=C(C=CC=C1)C(O)=O,457.15,Enamine,260,False
165,[O-][N+](=O)C1=CC2=C(CCCC2)N=C1,345.15,Enamine,21016,True
166,CC(C)(C)C1=CN=C(S)O1,405.15,Enamine,4689,True
167,CCCOC1=CC(=CC=C1)C(O)=O,347.15,Enamine,12838,True
168,CCOC(=O)CC1=C(C)N=C(O)N=C1C,409.15,Enamine,8721,True
169,OC(=O)C#CC1=C(F)C=C(F)C=C1,444.15,Enamine,8050,True
171,OC(=O)C(=CC1=CC(Cl)=CC=C1)C1=CC=CS1,466.15,Enamine,7758,True
173,CC1(NC(=O)NC1=O)C1=CC=C(Br)S1,458.15,Enamine,17195,True
179,O=C1NC(=O)C2=C1C=CN=C2,507.15,Enamine,19418,True
181,CCOC1=C(CN2CCCC2)C=C(N)C=C1,332.15,Enamine,5972,False
183,CC(O)C(NS(=O)(=O)C1=CC=C(Cl)C=C1)C(O)=O,453.15,Enamine,1388,True
184,OC1=NC(=NC(=C1)C(F)(F)F)C1=CN=CC=C1,551.15,Enamine,18063,True
186,OC(=O)C1(CCCC1)C1=CC=C(Br)C=C1,450.15,Enamine,10417,False
