,smiles,mp,db,db_index,train/test
0,C1=CC=C(C=C1)C#CC1=CC=C(C=C1)C#CC1=CC=CC=C1,450.15,OCHEM,18517,True
1,O=C=NC1=CC=CS1,382.15,OCHEM,1813,True
3,OC(=O)C1=C(O)C2=CC=CC=C2C=C1,475.15,OCHEM,934,True
4,CCC1=CC=C(CCl)C=C1,252.15,OCHEM,5573,True
12,COC1=C(OC)C=C(C=C1)C(=O)O[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@]5(O)C[C@H](O)[C@@]6(O)[C@@H](CN7C[C@@H](C)CC[C@H]7[C@@]6(C)O)[C@]5(O)C[C@]24O[C@]13O,453.15,OCHEM,7322,True
14,SCCCCCS,201.15,OCHEM,601,True
16,CN(C)CCC=C1C2=CC=CC=C2COC2=CC=C(CC(O)=O)C=C12,521.15,OCHEM,16869,True
17,OC(=O)C1=C(Cl)C=CC(Br)=C1,432.65,OCHEM,20695,True
18,COC1=CC(C)=C(OC)C=C1I,358.15,OCHEM,5830,True
21,CO[C@]1(CBr)O[C@H](COC(=O)C2=CC=C(C)C=C2)[C@@H](OC(=O)C2=CC=C(C)C=C2)[C@@H]1OC(=O)C1=CC=C(C)C=C1,421.15,OCHEM,12149,True
24,COC(=O)C1=CC=C(CC(CC2=CC=C(C=C2)C(=O)OC)(C#N)C2=CC=C(CC(C)C)C=C2)C=C1,388.15,OCHEM,17475,True
26,CC(C)(O)C#CC1=CC=C(C=NO)C=C1,383.15,OCHEM,5062,True
31,ClC1=C(Cl)C2(Cl)C(CBr)CC1(Cl)C2(Cl)Cl,350.15,OCHEM,9937,True
32,CN(C)C(C)(C)C,183.15,OCHEM,5493,True
36,NC1=CC=CC=C1SC(=O)C1=CC=CC=C1,378.15,OCHEM,14136,True
37,OC(=O)C=CC1=CC=C(F)C=C1,481.15,OCHEM,1029,True
38,CC1=CC(Cl)=CC=C1OCCCC(O)=O,373.15,OCHEM,7658,True
46,[O-][N+](=O)C1=CN=CN1CCN1CCOCC1,383.15,OCHEM,10804,True
47,CN(C)C1=C(C=CC=C1)N(C)C,282.05,OCHEM,9430,True
50,OC1=C(F)C=C(Cl)C=C1,293.15,OCHEM,5534,True
51,ClCCC(=O)C1=CC=C(Cl)C=C1,323.15,OCHEM,19635,True
54,OC(=O)CCC1=CC=C(Cl)C(Cl)=C1,371.15,OCHEM,3810,True
